Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,School
12.0,Tim Eze,F,11,0,6.1,0.5,1.2,0.385,0.0,0.2,0.0,0.5,1.0,0.455,0.385,0.5,0.7,0.625,0.4,0.8,1.2,0.2,0.4,0.0,0.5,0.5,1.4,,Maryland-Baltimore County
13.0,Jake Stout,G,6,0,3.2,0.5,1.2,0.429,0.2,0.8,0.2,0.3,0.3,1.0,0.5,0.2,0.2,1.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.3,1.3,,Maryland-Baltimore County
14.0,Saahil Thakkar,G,4,0,1.5,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,Maryland-Baltimore County
,Team Totals,,25,25,202.0,26.6,57.2,0.464,8.0,22.6,0.352,18.6,34.6,0.538,0.534,14.1,18.8,0.749,8.0,27.3,35.3,12.5,4.7,2.5,9.9,13.6,75.2,,Maryland-Baltimore County
1.0,Zion Obanla,F,27,14,21.2,4.2,6.7,0.621,0.0,0.1,0.25,4.1,6.6,0.629,0.624,2.0,3.1,0.655,2.0,3.6,5.6,0.8,0.6,0.2,1.4,2.7,10.4,,Maryland-Eastern Shore
2.0,Joseph Locandro,F,27,20,20.2,3.6,7.7,0.473,1.1,2.9,0.392,2.5,4.7,0.523,0.548,1.0,1.3,0.722,0.7,2.7,3.4,0.5,0.3,0.4,1.7,1.9,9.4,,Maryland-Eastern Shore
3.0,Dorion Staples,F,27,19,23.3,3.1,7.1,0.44,1.4,3.9,0.365,1.7,3.3,0.528,0.539,1.2,1.6,0.762,1.0,2.0,3.1,1.6,0.5,0.1,1.1,1.9,8.9,,Maryland-Eastern Shore
4.0,Jaden Cooper,G,27,27,26.4,3.0,7.1,0.419,1.3,3.7,0.35,1.7,3.4,0.495,0.51,1.2,1.4,0.865,0.9,3.0,3.9,1.7,0.9,0.1,1.1,1.6,8.4,,Maryland-Eastern Shore
5.0,Justin Monden,G,27,0,19.7,2.3,5.8,0.397,0.7,2.3,0.295,1.6,3.5,0.463,0.455,0.7,1.0,0.679,0.3,0.9,1.2,1.4,0.7,0.0,1.3,1.7,6.0,,Maryland-Eastern Shore
6.0,Michael Teal,G,27,27,24.4,1.7,4.1,0.42,0.2,1.3,0.176,1.5,2.9,0.526,0.446,1.5,2.0,0.745,0.5,1.3,1.8,3.6,0.7,0.1,2.1,1.6,5.2,,Maryland-Eastern Shore
