 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
117,High Point NCAA,36,31,5,.861,7.29,-6.32,,15,1,,17,1,,7,2,,3230,2565,,71.9,123.8,.413,.427,.599,51.5,53.6,14.6,11.0,.563,11.0,32.8,.308
118,Louisville NCAA,35,24,11,.686,22.47,10.72,,11,7,,15,2,,4,7,,2949,2538,,71.0,118.7,.331,.529,.598,53.4,59.6,9.5,9.1,.565,14.5,32.8,.252
119,Weber State,32,16,16,.500,-3.15,-2.92,,10,8,,11,5,,5,10,,2598,2474,,70.7,113.6,.372,.333,.564,53.0,46.8,10.1,4.4,.527,13.3,32.7,.273
120,Valparaiso,33,18,15,.545,-0.42,0.27,,11,9,,13,4,,4,10,,2376,2358,,66.3,106.6,.383,.367,.523,50.8,49.4,8.8,9.6,.483,13.3,32.7,.270
121,North Dakota State NCAA,35,27,8,.771,2.02,-5.23,,14,2,,13,1,,10,5,,2812,2458,,68.7,115.4,.308,.419,.571,53.2,53.9,11.9,8.8,.543,13.3,32.7,.223
122,Alabama State,32,10,22,.313,-14.46,-8.39,,7,11,,5,4,,4,15,,2341,2473,,71.9,101.7,.350,.382,.514,50.0,48.6,11.4,11.0,.478,15.5,32.7,.243
123,Florida Gulf Coast,34,16,18,.471,-6.60,-5.22,,8,10,,11,6,,3,11,,2631,2598,,69.3,110.5,.287,.393,.546,52.0,52.0,11.0,11.5,.518,13.4,32.6,.206
124,Murray State,33,20,13,.606,3.27,0.39,,12,8,,12,3,,5,7,,2742,2647,,72.3,115.0,.386,.448,.578,50.8,49.1,8.1,8.9,.538,14.1,32.6,.291
125,Southern Mississippi,35,19,16,.543,-5.64,-4.76,,9,9,,10,3,,4,11,,2615,2585,,69.9,106.1,.429,.298,.543,52.3,44.6,10.5,11.0,.496,15.8,32.6,.315
126,Abilene Christian,33,14,19,.424,-7.32,-1.39,,5,13,,9,5,,3,12,,2321,2389,,69.3,101.1,.403,.328,.529,50.4,54.7,14.0,8.1,.489,17.7,32.6,.284
127,Mount St. Mary's,32,15,17,.469,-10.41,-7.28,,11,9,,8,5,,7,11,,2178,2244,,67.7,100.2,.325,.431,.534,52.6,56.4,9.0,9.5,.508,19.3,32.6,.218
128,Western Kentucky,32,18,14,.563,0.38,-0.55,,11,9,,12,4,,5,7,,2537,2436,,71.1,110.6,.418,.399,.533,50.9,52.0,10.6,7.0,.481,12.3,32.5,.317
129,Stanford,33,20,13,.606,11.92,8.89,,9,9,,12,6,,5,5,,2508,2408,,67.9,111.6,.355,.440,.552,50.6,45.8,11.4,10.5,.515,13.3,32.5,.260
130,Georgetown,34,16,18,.471,9.08,8.37,,6,14,,10,7,,4,8,,2503,2479,,67.0,108.7,.373,.352,.539,50.8,57.8,9.6,10.3,.496,13.5,32.5,.276
