Rank,Team,oRB%,Last 3,Last 1,Home,Away,2024
190,Texas A&M-CC,28.20%,40.30%,20.80%,31.10%,26.50%,29.70%
191,Bethune,28.20%,32.10%,33.30%,28.40%,28.20%,27.10%
192,Wake Forest,28.20%,30.10%,25.00%,29.20%,27.00%,24.80%
193,Wofford,28.20%,24.50%,18.60%,28.30%,28.10%,33.60%
194,S Dakota St,28.20%,36.70%,38.20%,27.70%,28.40%,31.50%
195,Charleston So,28.10%,19.40%,11.40%,29.70%,27.10%,28.40%
196,SIU Edward,28.00%,31.50%,36.60%,31.70%,25.60%,28.40%
197,Missouri St,28.00%,22.40%,27.60%,29.30%,26.70%,30.10%
198,Colorado St,27.90%,25.70%,25.70%,29.20%,26.50%,25.30%
199,Kansas,27.90%,27.40%,25.00%,28.10%,27.80%,28.00%
200,C Michigan,27.80%,29.10%,29.60%,27.70%,27.90%,29.50%
201,Austin Peay,27.80%,31.00%,35.30%,29.90%,26.70%,23.20%
202,Jacksonville St,27.80%,32.10%,16.00%,25.40%,29.70%,29.20%
203,Middle Tenn,27.80%,27.20%,26.90%,28.40%,27.40%,28.90%
204,Charleston,27.80%,29.30%,25.70%,25.70%,29.50%,24.00%
205,Cal Poly,27.80%,31.90%,21.20%,29.40%,26.70%,25.50%
206,Mississippi St,27.70%,19.60%,21.10%,27.50%,28.00%,32.20%
207,W Michigan,27.70%,26.60%,33.30%,26.20%,29.00%,32.30%
208,Coppin St,27.60%,32.00%,25.00%,33.70%,25.40%,23.20%
209,Abl Christian,27.50%,19.30%,27.60%,26.40%,28.00%,27.80%
210,N Illinois,27.50%,14.40%,11.40%,29.70%,26.10%,14.50%
211,Belmont,27.50%,26.80%,25.70%,25.90%,28.70%,25.60%
212,Ohio St,27.40%,20.90%,13.30%,27.60%,27.20%,26.60%
213,Hou Christian,27.40%,19.80%,8.80%,31.20%,24.90%,24.40%
214,San Jose St,27.40%,28.40%,26.70%,31.10%,24.40%,24.10%
215,Marquette,27.30%,25.50%,34.10%,29.00%,25.40%,28.00%
216,Marist,27.30%,36.60%,36.00%,28.30%,26.40%,28.80%
217,Texas So,27.30%,37.20%,32.50%,28.60%,26.20%,28.90%
218,Washington St,27.20%,24.50%,13.90%,28.30%,26.30%,28.90%
219,Army,27.20%,28.00%,40.00%,27.30%,27.20%,23.80%
220,NC Central,27.20%,37.20%,33.30%,29.90%,25.80%,32.60%
221,E Tennessee St,27.20%,22.20%,13.80%,26.60%,27.70%,33.10%
222,UTSA,27.20%,30.80%,33.30%,28.10%,26.40%,25.30%
223,Jackson St,27.20%,38.00%,37.80%,31.10%,25.60%,28.50%
224,Arizona St,27.10%,22.50%,28.10%,28.50%,25.90%,22.10%
