Rank,team,rating,Hi,Lo,Last
353,New Haven,-8.9,21,361,353
354,Prairie View,-8.9,294,365,354
355,Maryland ES,-9.6,43,362,355
356,Norfolk St,-9.7,177,357,356
357,Alabama A&M,-9.8,253,361,357
358,S Carolina St,-9.9,16,361,358
359,Coppin St,-9.9,48,364,359
360,W Illinois,-10.1,42,362,360
361,NC Central,-10.9,6,362,361
362,Binghamton,-10.9,43,365,362
363,Miss Valley St,-11.2,157,365,363
364,Morgan St,-11.7,65,364,364
365,Delaware St,-12.7,40,365,365
