Rank,Team,TOV%,Last 3,Last 1,Home,Away,2024
169,Bowling Green,16.20%,13.30%,15.80%,15.70%,16.60%,17.10%
170,Kennesaw St,16.20%,16.80%,15.80%,16.10%,16.20%,19.20%
171,Missouri St,16.20%,14.50%,10.00%,15.10%,17.20%,20.20%
172,Providence,16.20%,18.50%,14.40%,16.30%,16.10%,18.50%
173,William & Mary,16.20%,16.60%,18.10%,13.80%,17.70%,17.80%
174,Monmouth,16.20%,14.80%,13.40%,14.80%,17.10%,15.80%
175,Southern,16.20%,16.40%,16.20%,15.80%,16.40%,18.10%
176,Seton Hall,16.20%,13.60%,17.40%,15.60%,16.90%,18.60%
177,Tennessee St,16.20%,19.10%,19.90%,13.50%,17.60%,20.60%
178,South Dakota,16.20%,10.00%,9.20%,14.40%,18.00%,12.30%
179,N Texas,16.30%,11.70%,13.70%,16.60%,16.00%,16.30%
180,Stony Brook,16.30%,14.50%,13.60%,15.60%,16.90%,17.90%
181,Utah,16.30%,17.20%,11.90%,16.20%,16.40%,17.40%
182,Sam Houston,16.30%,17.10%,17.90%,14.90%,17.00%,17.90%
183,Louisiana,16.30%,11.80%,10.90%,15.90%,16.70%,15.60%
184,W Carolina,16.40%,16.00%,21.10%,13.90%,17.80%,18.50%
185,Saint Joseph's,16.40%,15.30%,13.40%,14.90%,17.40%,16.00%
186,Seattle,16.40%,15.10%,10.60%,17.00%,15.70%,16.60%
187,Saint Mary's,16.40%,17.90%,29.70%,16.00%,16.90%,14.60%
188,W Michigan,16.40%,15.30%,15.00%,15.00%,17.60%,15.40%
189,Hampton,16.50%,9.90%,14.30%,13.70%,17.80%,15.60%
190,St Bonaventure,16.50%,16.10%,17.80%,15.50%,17.30%,15.50%
191,West Virginia,16.50%,15.30%,5.90%,14.70%,18.40%,15.90%
192,Louisville,16.50%,21.50%,16.00%,15.80%,17.20%,16.00%
193,Portland St,16.50%,8.10%,9.10%,16.30%,16.50%,17.90%
194,Navy,16.50%,14.40%,16.00%,15.50%,17.40%,15.80%
195,Notre Dame,16.50%,14.90%,14.20%,17.60%,15.20%,16.10%
196,Jacksonville St,16.50%,17.90%,19.60%,15.30%,17.60%,15.50%
197,Rider,16.50%,15.60%,13.50%,15.00%,17.60%,16.80%
198,E Kentucky,16.50%,16.90%,16.50%,15.50%,17.30%,13.50%
199,Illinois St,16.50%,21.00%,27.60%,14.80%,17.90%,15.60%
200,Marist,16.50%,20.30%,29.70%,15.50%,17.40%,17.90%
201,UL Monroe,16.50%,10.90%,8.50%,17.20%,16.10%,16.80%
202,Radford,16.60%,15.40%,13.30%,16.10%,16.90%,17.30%
203,Dayton,16.60%,10.50%,7.80%,15.50%,17.50%,15.10%
204,S Indiana,16.60%,14.20%,8.60%,18.00%,15.70%,16.80%
205,E Carolina,16.60%,19.70%,15.20%,15.20%,18.20%,15.30%
206,Boise St,16.60%,19.80%,16.90%,15.80%,17.40%,16.10%
207,Cincinnati,16.60%,21.10%,24.10%,15.90%,17.50%,15.10%
208,Arizona St,16.60%,28.00%,33.40%,15.50%,17.60%,17.10%
209,SE Missouri St,16.60%,11.10%,13.40%,16.30%,16.90%,15.20%
210,S Illinois,16.60%,11.90%,15.40%,15.10%,17.70%,17.90%
211,NJIT,16.70%,21.70%,18.50%,15.00%,17.70%,17.50%
212,Princeton,16.70%,20.40%,20.00%,17.10%,16.40%,14.90%
213,Incarnate Word,16.70%,15.70%,6.40%,15.90%,17.20%,16.90%
214,UNLV,16.70%,21.40%,10.30%,17.40%,16.00%,15.80%
215,Middle Tenn,16.70%,19.70%,23.10%,16.10%,17.20%,16.20%
216,Idaho St,16.70%,16.50%,16.00%,13.10%,18.90%,15.90%
217,Iona,16.80%,21.40%,9.90%,16.90%,16.70%,20.30%
218,Army,16.80%,19.80%,17.50%,17.40%,16.20%,14.10%
219,Michigan St,16.80%,17.60%,15.10%,17.00%,16.60%,16.10%
220,Fordham,16.80%,16.10%,15.60%,17.10%,16.40%,18.00%
221,Troy,16.80%,24.10%,26.90%,13.80%,18.30%,19.30%
222,J Madison,16.90%,15.70%,13.80%,16.90%,16.80%,15.60%
223,Saint Louis,16.90%,17.30%,11.00%,15.90%,17.90%,18.20%
224,Tennessee,16.90%,16.60%,11.70%,16.80%,17.00%,15.60%
225,Pittsburgh,16.90%,15.70%,16.50%,16.50%,17.30%,14.40%
226,San Diego St,16.90%,19.30%,21.10%,17.50%,16.30%,16.30%
227,Jacksonville,16.90%,11.80%,7.70%,14.50%,18.10%,19.10%
228,UTSA,17.00%,13.30%,7.00%,16.90%,17.00%,15.20%
