Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Seton Hall,16.86,110.67,93.81,65.89,9.74,105.84,115.58
Northwestern,16.56,119.45,102.89,65.36,14.9,104.68,119.59
LSU,16.54,123.45,106.92,67.44,11.41,106.03,117.45
West Virginia,16.23,115.42,99.19,63.53,9.63,105.61,115.24
UCF,15.55,122.18,106.63,69.46,12.41,103.56,115.97
Virginia Tech,15.51,120.94,105.43,67.51,8.99,106.5,115.49
Wake Forest,15.49,119.6,104.12,69.28,11.25,105.24,116.48
Missouri,15.1,120.3,105.2,66.53,10.58,107.0,117.58
Stanford,15.06,118.99,103.93,68.01,10.15,104.38,114.53
California,14.95,116.66,101.71,68.61,6.42,107.04,113.46
Colorado,14.36,121.27,106.91,68.85,11.96,104.92,116.88
Providence,14.23,125.87,111.65,71.95,11.05,103.91,114.97
Oklahoma State,14.0,121.13,107.13,72.84,12.16,104.22,116.38
Tulsa,13.76,123.04,109.29,68.47,1.7,109.15,110.84
Butler,13.69,119.75,106.06,69.25,9.55,105.31,114.85
Florida State,13.34,117.27,103.93,71.28,10.48,105.31,115.79
Ole Miss,13.12,116.55,103.43,66.93,14.64,105.51,120.15
Grand Canyon,13.05,111.7,98.65,68.6,2.59,109.38,111.97
USC,12.67,116.53,103.86,71.04,13.96,104.84,118.81
Arizona State,12.29,115.68,103.39,70.15,15.04,103.82,118.86
Creighton,12.16,116.98,104.82,68.36,13.9,102.49,116.39
Nevada,11.98,116.16,104.18,67.0,6.54,107.26,113.8
Dayton,11.69,112.05,100.37,67.41,3.19,108.6,111.79
Wichita State,11.64,114.48,102.84,67.71,1.12,110.57,111.69
Minnesota,11.24,113.05,101.81,63.58,10.49,106.9,117.39
Marquette,11.14,112.64,101.5,69.99,11.94,105.27,117.21
Oregon,10.35,114.3,103.95,66.69,15.34,103.53,118.87
Syracuse,10.27,115.88,105.6,68.4,10.78,104.27,115.05
Northern Iowa,10.23,108.92,98.69,63.17,1.16,109.07,110.23
George Washington,9.97,116.33,106.36,69.99,1.63,108.39,110.02
Kansas State,9.94,115.62,105.68,72.66,12.75,104.41,117.16
Xavier,9.84,118.48,108.64,70.75,11.43,103.64,115.07
McNeese,9.78,115.0,105.22,66.76,-4.52,111.16,106.64
Belmont,9.76,118.53,108.77,69.71,-3.0,110.45,107.45
Georgetown,9.75,115.29,105.54,66.53,9.03,105.11,114.14
Colorado State,9.73,117.81,108.08,64.23,4.78,108.33,113.11
Notre Dame,9.46,117.47,108.01,67.34,10.56,104.67,115.23
Wyoming,9.24,116.05,106.81,66.72,4.05,108.78,112.83
Mississippi State,9.04,115.23,106.19,69.85,15.14,104.7,119.83
Akron,8.5,117.38,108.88,70.76,-6.93,114.64,107.71
High Point,8.48,117.44,108.96,70.5,-11.78,115.73,103.95
Illinois State,8.41,110.53,102.12,67.04,-0.24,110.58,110.34
South Carolina,8.36,113.02,104.66,67.15,9.87,107.55,117.42
Pittsburgh,8.27,115.3,107.03,64.22,10.61,105.53,116.15
Utah,7.7,117.23,109.53,67.49,13.33,103.64,116.97
DePaul,7.19,107.21,100.02,66.88,6.68,107.13,113.81
George Mason,6.77,113.39,106.62,63.95,0.2,110.28,110.49
Utah Valley,6.42,112.74,106.32,68.99,-3.68,110.24,106.56
Yale,6.36,119.34,112.98,65.43,-6.48,113.71,107.23
UNLV,6.21,115.29,109.08,70.38,6.51,107.08,113.59
Miami (OH),5.38,118.58,113.2,70.14,-7.06,114.42,107.37
Pacific,4.55,111.61,107.06,64.65,2.18,108.65,110.83
San Francisco,4.2,114.87,110.68,66.37,3.14,107.99,111.13
Hawai'i,4.17,107.19,103.02,69.8,-5.62,111.94,106.32
Seattle U,4.05,103.16,99.11,68.48,2.02,109.68,111.7
Rutgers,4.01,111.72,107.71,67.42,11.27,104.88,116.15
Maryland,3.86,111.19,107.34,66.52,15.12,104.04,119.16
California Baptist,3.76,106.23,102.47,66.48,-5.33,111.8,106.47
Fresno State,3.5,109.44,105.95,67.55,5.68,107.89,113.56
Memphis,3.45,109.36,105.91,70.21,6.14,107.76,113.9
Richmond,3.13,111.9,108.77,68.5,-2.26,110.93,108.67
Hofstra,3.12,112.47,109.35,65.09,-5.27,111.95,106.67
Stephen F. Austin,3.1,110.15,107.05,66.27,-7.65,112.75,105.1
UIC,3.02,110.35,107.33,66.98,-0.5,110.03,109.53
UC Irvine,2.93,104.11,101.18,68.93,-4.02,111.21,107.19
North Texas,2.86,106.39,103.52,65.53,-0.77,111.31,110.54
UAB,2.83,110.08,107.24,69.82,-3.89,112.28,108.39
Florida Atlantic,2.67,110.34,107.67,70.45,1.58,109.16,110.73
Davidson,2.61,109.53,106.92,64.22,1.88,108.52,110.4
Murray State,2.31,114.37,112.06,72.06,-1.72,110.74,109.02
Saint Joseph's,2.31,107.09,104.78,69.02,-0.12,109.59,109.47
Bradley,2.28,114.34,112.05,68.0,-1.3,109.41,108.11
Duquesne,2.23,112.49,110.26,69.08,0.7,109.48,110.18
Penn State,2.2,113.66,111.45,68.22,11.73,105.91,117.64
Southern Illinois,2.12,104.54,102.42,69.61,-1.18,110.13,108.95
Sam Houston,2.09,111.37,109.28,70.94,-2.22,111.83,109.61
Washington State,1.9,113.28,111.38,68.63,4.58,107.17,111.75
Rhode Island,1.9,107.06,105.16,66.59,-1.42,110.51,109.09
Liberty,1.69,116.08,114.39,64.62,-3.86,111.49,107.64
UNC Wilmington,1.42,109.39,107.97,65.58,-8.58,113.97,105.39
St. Thomas-Minnesota,1.25,111.27,110.03,68.83,-9.81,115.73,105.92
St. Bonaventure,1.04,114.81,113.77,67.57,-1.02,109.58,108.55
Boston College,0.87,103.77,102.9,66.76,4.95,108.0,112.94
UC San Diego,0.86,105.84,104.98,67.79,-4.96,111.54,106.59
