Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Miami,ACC,23.26,122.28,99.02,68.32,8.52,115.51,106.99
NC State,ACC,22.9,126.38,103.48,69.47,13.54,118.18,104.64
SMU,ACC,22.89,126.05,103.16,69.09,11.57,116.84,105.28
Auburn,SEC,22.7,128.62,105.93,67.53,15.83,119.96,104.13
Indiana,Big Ten,22.23,123.82,101.58,66.47,12.75,117.47,104.72
Clemson,ACC,22.07,120.17,98.09,64.23,10.67,116.01,105.34
Villanova,Big East,21.37,122.48,101.12,65.82,12.43,117.24,104.82
Santa Clara,WCC,21.11,124.46,103.35,69.62,7.02,113.11,106.08
Saint Louis,A-10,20.85,120.05,99.2,71.75,1.09,110.1,109.01
Texas A&M,SEC,20.69,124.36,103.67,71.11,10.65,117.73,107.08
Baylor,Big 12,20.27,125.53,105.26,68.15,15.16,117.7,102.54
Oklahoma,SEC,19.38,126.27,106.88,67.13,10.81,117.14,106.33
Washington,Big Ten,19.05,120.39,101.34,67.47,13.46,118.47,105.01
Cincinnati,Big 12,18.74,112.17,93.43,67.99,10.9,115.66,104.76
TCU,Big 12,18.72,119.44,100.72,67.61,11.05,116.05,104.99
New Mexico,Mountain West,18.66,118.82,100.16,70.28,4.66,112.49,107.83
San Diego State,Mountain West,17.69,116.0,98.31,69.27,9.39,115.62,106.23
South Florida,American,17.41,120.54,103.13,72.21,2.3,111.53,109.23
Boise State,Mountain West,16.9,124.87,107.97,65.58,9.12,115.5,106.38
VCU,A-10,16.88,118.92,102.05,69.2,4.25,111.99,107.74
Seton Hall,Big East,16.86,110.67,93.81,65.89,9.74,115.58,105.84
Northwestern,Big Ten,16.56,119.45,102.89,65.36,14.9,119.59,104.68
LSU,SEC,16.54,123.45,106.92,67.44,11.41,117.45,106.03
West Virginia,Big 12,16.23,115.42,99.19,63.53,9.63,115.24,105.61
UCF,Big 12,15.55,122.18,106.63,69.46,12.41,115.97,103.56
Virginia Tech,ACC,15.51,120.94,105.43,67.51,8.99,115.49,106.5
Wake Forest,ACC,15.49,119.6,104.12,69.28,11.25,116.48,105.24
Missouri,SEC,15.1,120.3,105.2,66.53,10.58,117.58,107.0
Stanford,ACC,15.06,118.99,103.93,68.01,10.15,114.53,104.38
California,ACC,14.95,116.66,101.71,68.61,6.42,113.46,107.04
Colorado,Big 12,14.36,121.27,106.91,68.85,11.96,116.88,104.92
Providence,Big East,14.23,125.87,111.65,71.95,11.05,114.97,103.91
Oklahoma State,Big 12,14.0,121.13,107.13,72.84,12.16,116.38,104.22
Tulsa,American,13.76,123.04,109.29,68.47,1.7,110.84,109.15
Butler,Big East,13.69,119.75,106.06,69.25,9.55,114.85,105.31
Florida State,ACC,13.34,117.27,103.93,71.28,10.48,115.79,105.31
Ole Miss,SEC,13.12,116.55,103.43,66.93,14.64,120.15,105.51
Grand Canyon,Mountain West,13.05,111.7,98.65,68.6,2.59,111.97,109.38
USC,Big Ten,12.67,116.53,103.86,71.04,13.96,118.81,104.84
Arizona State,Big 12,12.29,115.68,103.39,70.15,15.04,118.86,103.82
Creighton,Big East,12.16,116.98,104.82,68.36,13.9,116.39,102.49
Nevada,Mountain West,11.98,116.16,104.18,67.0,6.54,113.8,107.26
Dayton,A-10,11.69,112.05,100.37,67.41,3.19,111.79,108.6
Wichita State,American,11.64,114.48,102.84,67.71,1.12,111.69,110.57
Minnesota,Big Ten,11.24,113.05,101.81,63.58,10.49,117.39,106.9
Marquette,Big East,11.14,112.64,101.5,69.99,11.94,117.21,105.27
Oregon,Big Ten,10.35,114.3,103.95,66.69,15.34,118.87,103.53
Syracuse,ACC,10.27,115.88,105.6,68.4,10.78,115.05,104.27
Northern Iowa,MVC,10.23,108.92,98.69,63.17,1.16,110.23,109.07
George Washington,A-10,9.97,116.33,106.36,69.99,1.63,110.02,108.39
Kansas State,Big 12,9.94,115.62,105.68,72.66,12.75,117.16,104.41
Xavier,Big East,9.84,118.48,108.64,70.75,11.43,115.07,103.64
McNeese,Southland,9.78,115.0,105.22,66.76,-4.52,106.64,111.16
Belmont,MVC,9.76,118.53,108.77,69.71,-3.0,107.45,110.45
Georgetown,Big East,9.75,115.29,105.54,66.53,9.03,114.14,105.11
Colorado State,Mountain West,9.73,117.81,108.08,64.23,4.78,113.11,108.33
Notre Dame,ACC,9.46,117.47,108.01,67.34,10.56,115.23,104.67
Wyoming,Mountain West,9.24,116.05,106.81,66.72,4.05,112.83,108.78
Mississippi State,SEC,9.04,115.23,106.19,69.85,15.14,119.83,104.7
Akron,MAC,8.5,117.38,108.88,70.76,-6.93,107.71,114.64
High Point,Big South,8.48,117.44,108.96,70.5,-11.78,103.95,115.73
Illinois State,MVC,8.41,110.53,102.12,67.04,-0.24,110.34,110.58
South Carolina,SEC,8.36,113.02,104.66,67.15,9.87,117.42,107.55
Pittsburgh,ACC,8.27,115.3,107.03,64.22,10.61,116.15,105.53
Utah,Big 12,7.7,117.23,109.53,67.49,13.33,116.97,103.64
DePaul,Big East,7.19,107.21,100.02,66.88,6.68,113.81,107.13
George Mason,A-10,6.77,113.39,106.62,63.95,0.2,110.49,110.28
