Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,School Advanced_Pace,School Advanced_ORtg,School Advanced_FTr,School Advanced_3PAr,School Advanced_TS%,School Advanced_TRB%,School Advanced_AST%,School Advanced_STL%,School Advanced_BLK%,School Advanced_eFG%,School Advanced_TOV%,School Advanced_ORB%,School Advanced_FT/FGA
99,Georgetown,34,16,18,.471,9.07,8.36,,6,14,,10,7,,4,8,,2503,2479,,67.0,108.7,.373,.352,.539,50.8,57.8,9.6,10.3,.496,13.5,32.5,.276
100,Georgia NCAA,33,22,11,.667,18.46,8.89,,10,8,,14,4,,6,4,,2951,2635,,73.6,119.7,.369,.443,.579,50.2,48.1,11.2,14.9,.542,12.1,34.9,.277
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
101,Georgia Southern,37,21,16,.568,-6.71,-6.25,,8,10,,9,5,,7,8,,2994,2949,,71.3,112.3,.390,.488,.561,46.8,42.0,11.2,10.2,.520,12.6,28.9,.291
102,Georgia State,32,10,22,.313,-11.81,-4.81,,7,11,,7,7,,3,12,,2253,2391,,69.3,101.3,.367,.432,.508,47.5,51.2,9.9,8.6,.452,13.6,28.4,.287
103,Georgia Tech,31,11,20,.355,2.57,6.22,,2,16,,10,9,,1,9,,2287,2400,,71.6,102.6,.333,.332,.534,50.3,59.9,8.4,11.4,.500,16.2,29.9,.237
104,Gonzaga NCAA,35,31,4,.886,23.94,5.82,,16,2,,15,0,,8,2,,2950,2316,,70.2,119.7,.310,.308,.581,55.4,57.5,11.9,11.1,.556,11.7,34.8,.219
105,Grambling,33,14,19,.424,-12.50,-10.27,,7,11,,7,5,,4,13,,2321,2314,,69.9,100.7,.410,.380,.536,49.8,50.8,11.5,8.0,.490,18.2,30.8,.300
106,Grand Canyon,32,20,12,.625,10.96,3.99,,13,7,,13,4,,6,5,,2420,2197,,69.0,109.2,.395,.389,.560,53.6,49.6,9.5,10.5,.517,15.3,31.3,.298
107,Green Bay,33,18,15,.545,-5.25,-3.28,,12,8,,10,4,,6,9,,2469,2470,,65.2,114.0,.416,.371,.595,49.9,54.6,6.8,8.6,.553,14.2,25.7,.318
108,Hampton,32,13,19,.406,-8.94,-4.84,,7,11,,10,2,,2,12,,2237,2264,,66.5,104.3,.373,.376,.512,51.0,50.3,9.7,9.0,.470,14.1,33.6,.268
109,Harvard,29,17,12,.586,-1.89,-4.35,,10,4,,8,4,,9,6,,2032,1934,,64.0,108.1,.265,.401,.567,50.3,55.4,11.1,10.6,.532,15.3,26.9,.212
110,Hawaii NCAA,33,24,9,.727,4.45,-3.10,,14,6,,16,3,,6,5,,2626,2328,,72.2,109.4,.419,.402,.565,54.1,51.0,9.0,9.8,.522,16.0,32.1,.309
111,High Point NCAA,36,31,5,.861,7.27,-6.34,,15,1,,17,1,,7,2,,3230,2565,,71.9,123.8,.413,.427,.599,51.5,53.6,14.6,11.0,.563,11.0,32.8,.308
112,Hofstra NCAA,35,24,11,.686,4.16,-1.96,,12,6,,10,2,,9,8,,2641,2336,,65.7,114.0,.311,.434,.555,53.4,48.8,7.6,10.6,.521,13.5,35.3,.231
113,Holy Cross,33,11,22,.333,-13.97,-7.10,,5,13,,6,8,,4,14,,2251,2418,,66.1,103.3,.319,.374,.535,47.7,45.0,8.7,5.1,.496,13.7,23.0,.241
114,Houston NCAA,37,30,7,.811,26.24,11.70,,14,4,,15,1,,6,3,,2844,2306,,64.8,118.3,.263,.407,.551,52.4,52.6,11.6,12.5,.519,10.7,35.7,.203
115,Houston Christian,32,12,20,.375,-10.00,-3.86,,8,14,,9,5,,3,13,,2147,2309,,65.2,102.5,.364,.365,.532,48.8,58.8,10.2,11.2,.497,16.5,30.5,.254
116,Howard NCAA,35,24,11,.686,-4.26,-10.42,,11,3,,11,4,,7,6,,2722,2420,,69.9,110.8,.443,.344,.563,53.3,61.5,11.9,9.7,.519,16.1,36.4,.323
