Player,PPG,Assigned_Team
Broc Bidwell,2.0,Campbell
Enoch Kalambay,2.0,Campbell
Dominykas Butka,1.8,Campbell
Terren Frank,1.4,Campbell
Daniel Marcellinus,0.0,Campbell
Bryan Ndjonga,13.9,Canisius
Kahlil Singleton,13.9,Canisius
Michael Evbagharu,9.2,Canisius
Marcus Niblack,6.9,Canisius
Javante Edwards,6.5,Canisius
Myles Wilmoth,5.2,Canisius
Anthony Benard,4.0,Canisius
Christopher Kumu,3.7,Canisius
Brendan Oliver,3.5,Canisius
Max Jusianiec,2.3,Canisius
King Ijeoma,1.9,Canisius
Evan van der Plas,1.7,Canisius
Andreo Ash,1.1,Canisius
Trevor Augustine,0.5,Canisius
Zach Christian,0.4,Canisius
Nicco DiGiulio,0.3,Canisius
Camren Hunter,21.0,Central Arkansas
Ty Robinson,14.2,Central Arkansas
Javion Guy-King,9.8,Central Arkansas
Luke Moore,9.4,Central Arkansas
Cole McCormick,9.1,Central Arkansas
Rashad Bolden,8.7,Central Arkansas
Harrison Beauchamp,4.5,Central Arkansas
Malchiah Marable,4.2,Central Arkansas
Truman Byrne,4.0,Central Arkansas
Tyler Lee,2.5,Central Arkansas
Parker Applegate,2.1,Central Arkansas
Chris Mason,2.0,Central Arkansas
John Shulman,0.8,Central Arkansas
Ethan Thomas,0.7,Central Arkansas
Owen Derhmann,0.3,Central Arkansas
Darin Smith Jr.,20.7,Central Connecticut State
Max Frazier,12.0,Central Connecticut State
Jay Rodgers,11.0,Central Connecticut State
Melo Sanchez,9.6,Central Connecticut State
Gabe Spinelli,4.7,Central Connecticut State
Roddy Jones,4.3,Central Connecticut State
James Jones,4.2,Central Connecticut State
Ashton Reynolds,3.7,Central Connecticut State
Daniel Etiosa James,3.5,Central Connecticut State
Ja'Kobe Williams,3.3,Central Connecticut State
Nico Ashley,3.3,Central Connecticut State
Elijah Parker,2.4,Central Connecticut State
Jayden Mott,1.9,Central Connecticut State
Adam Fox,1.5,Central Connecticut State
Riley Kugel,14.4,Central Florida
Themus Fulks,14.0,Central Florida
Jordan Burks,13.3,Central Florida
Jamichael Stillwell,11.6,Central Florida
Chris Johnson,6.2,Central Florida
John Bol,5.9,Central Florida
Devan Cambridge,5.4,Central Florida
Carmelo Pacheco,4.6,Central Florida
